id,geo_id,county,county_pop_21,mk_pop,pval_mk,slp_pop,pval_ols,coef_pop,pval_poisson,WUICLASS10_tract,WUIFLAG10_tract,tract_id_num
06037500403,1400000US06037500403,Los Angeles County,10019635,-0.5757575035095215,0.011174811981618404,-82.61188811188822,0.0024981482905863635,-0.020177670456015248,1.1282046902870134e-53,High_Dens_Interface,2,6037500403
06065045103,1400000US06065045103,Riverside County,2409331,-0.656507670879364,0.0038912922609597445,-90.12937062937074,5.032359038829565e-5,-0.024397055048733834,3.7001588550639696e-70,Med_Dens_Interface,2,6065045103
06065046404,1400000US06065046404,Riverside County,2409331,0.5454545021057129,0.016393303871154785,151.42307692307688,0.008807896749008224,0.025202035905688622,2.485202306554795e-120,High_Dens_Interface,2,6065046404
06065045108,1400000US06065045108,Riverside County,2409331,0.7333333492279053,0.004207491874694824,212.9636363636365,2.6083721628768725e-5,0.03490751252676057,7.490726246133933e-135,High_Dens_Interface,2,6065045108
06037122122,1400000US06037122122,Los Angeles County,10019635,0.6969696283340454,0.0020302534103393555,64.32867132867128,5.387627651523069e-5,0.027006484547166466,8.839510498616362e-56,High_Dens_Interface,2,6037122122
06065045109,1400000US06065045109,Riverside County,2409331,0.1515151411294937,0.5371338129043579,29.080419580419424,0.3753259498712068,0.00746438009771703,2.537742217069327e-8,High_Dens_Interface,2,6065045109
06065045110,1400000US06065045110,Riverside County,2409331,0.5454545021057129,0.016393303871154785,62.842657342657205,0.05064356400087303,0.011705509535704591,1.1483131392826989e-24,High_Dens_Interface,2,6065045110
06065042514,1400000US06065042514,Riverside County,2409331,0.5454545021057129,0.016393303871154785,50.90909090909081,0.002217882244943521,0.016264021490514324,1.5278264007443787e-27,High_Dens_Interface,2,6065042514
06065043807,1400000US06065043807,Riverside County,2409331,0.9696968793869019,1.5616416931152344e-5,197.52797202797177,2.8988859627570636e-9,0.03183417794133272,1.3122692003848265e-196,High_Dens_Interface,2,6065043807
06065043900,1400000US06065043900,Riverside County,2409331,0.5151514410972595,0.02364218235015869,71.45804195804162,0.011006437615847162,0.011276967800981901,7.248943597583554e-27,High_Dens_Interface,2,6065043900
06037137301,1400000US06037137301,Los Angeles County,10019635,0.21212118864059448,0.37269139289855957,7.097902097902035,0.38657190535050256,0.0031537645319403176,0.07359694160751473,High_Dens_Interface,2,6037137301
06065045215,1400000US06065045215,Riverside County,2409331,0.8222222328186035,0.0012822151184082031,157.52727272727267,5.915678365693824e-4,0.016670645899218184,5.381864057788639e-49,Med_Dens_Intermix,2,6065045215
06065045216,1400000US06065045216,Riverside County,2409331,0.8787877559661865,9.28640365600586e-5,106.45454545454535,1.1398646185164557e-6,0.05238318160341463,3.648996523377895e-173,High_Dens_Interface,2,6065045216
06065045226,1400000US06065045226,Riverside County,2409331,0.9090908169746399,5.2094459533691406e-5,207.00349650349628,5.84330314683376e-5,0.029635697099486387,5.512047317727188e-192,Med_Dens_Intermix,1,6065045226
06065042738,1400000US06065042738,Riverside County,2409331,0.9393938183784485,2.872943878173828e-5,332.56643356643343,2.3525810661459173e-8,0.0465835254238679,0,High_Dens_Interface,2,6065042738
06065042739,1400000US06065042739,Riverside County,2409331,0.3030302822589874,0.19261622428894043,48.43006993006958,0.23942850342979063,0.006419539819495384,2.609731654686826e-11,Med_Dens_Interface,2,6065042739
06037137302,1400000US06037137302,Los Angeles County,10019635,-0.6363635659217834,0.0049315025098621845,-18.33566433566455,0.0023983748292850764,-0.004094928503936047,0.0010506936534117055,Med_Dens_Interface,2,6037137302
06037137401,1400000US06037137401,Los Angeles County,10019635,0.1818181574344635,0.4506702423095703,11.097902097901896,0.31615581358438377,0.0025797490902300622,0.04303745058529268,High_Dens_Interface,2,6037137401
06037141400,1400000US06037141400,Los Angeles County,10019635,0.666666567325592,0.0031919479370117188,69.63986013986013,0.0010837638808323421,0.014497298299804458,3.172708979694958e-33,Med_Dens_Interface,2,6037141400
06085503325,1400000US06085503325,Santa Clara County,1932022,0.1515151411294937,0.5371338129043579,24.479020979020927,0.2841897866220407,0.005306986625193801,1.6338350889620567e-5,High_Dens_Interface,2,6085503325
06059042313,1400000US06059042313,Orange County,3182923,-0.09090907871723175,0.7317017316818237,-31.741258741258918,0.5238197917015451,-0.004681043995181232,4.041374720194826e-6,Low_Dens_Interface,2,6059042313
06037400205,1400000US06037400205,Los Angeles County,10019635,-0.6969696283340454,0.0020302950870245695,-80.52797202797211,1.7124362995373662e-4,-0.026197995994555197,2.3356528769891887e-67,Med_Dens_Interface,2,6037400205
06037143901,1400000US06037143901,Los Angeles County,10019635,0.333333283662796,0.14986073970794678,15.520979020978878,0.11694299170692078,0.0037040454137760898,0.004141786963531315,Med_Dens_Intermix,1,6037143901
06037139802,1400000US06037139802,Los Angeles County,10019635,0.27272725105285645,0.24372220039367676,10.30769230769212,0.252407753461685,0.0026033239375436498,0.050127945485327806,Med_Dens_Interface,2,6037139802
06037460700,1400000US06037460700,Los Angeles County,10019635,-0.030303027480840683,0.9453298449516296,0.6818181818179552,0.9476412883815626,1.3494002509906628e-4,0.9086809730204903,Med_Dens_Interface,2,6037460700
06037123010,1400000US06037123010,Los Angeles County,10019635,-0.787878692150116,4.7016970347613096e-4,-94.5629370629372,2.2760781094119857e-5,-0.021709704321486223,1.1593425003167596e-65,High_Dens_Interface,2,6037123010
06059032054,1400000US06059032054,Orange County,3182923,0.3030302822589874,0.19261622428894043,27.265734265734025,0.1437643210639824,0.0051285164656239895,7.77039079231416e-6,High_Dens_Interface,2,6059032054
