GEO_ID,NAME,estimate_2020,estimate_2021,estimate_2022,chg_20_21,chg_21_22,chg_20_22,pct_chg_20_21,pct_chg_21_22,pct_chg_20_22,county
1400000US06001404900,"Census Tract 4049, Alameda County, California",4253,4461,4669,208,208,416,4.89,4.66,9.78,Alameda County
1400000US06001405000,"Census Tract 4050, Alameda County, California",3444,3718,3665,274,-53,221,7.96,-1.43,6.42,Alameda County
1400000US06001405100,"Census Tract 4051, Alameda County, California",4285,4479,4508,194,29,223,4.53,0.65,5.2,Alameda County
1400000US06001405200,"Census Tract 4052, Alameda County, California",5159,4936,4913,-223,-23,-246,-4.32,-0.47,-4.77,Alameda County
1400000US06001405301,"Census Tract 4053.01, Alameda County, California",2947,2988,2872,41,-116,-75,1.39,-3.88,-2.54,Alameda County
1400000US06001405302,"Census Tract 4053.02, Alameda County, California",2287,2457,2559,170,102,272,7.43,4.15,11.89,Alameda County
1400000US06001405401,"Census Tract 4054.01, Alameda County, California",3670,3583,3541,-87,-42,-129,-2.37,-1.17,-3.51,Alameda County
1400000US06001405402,"Census Tract 4054.02, Alameda County, California",3412,3492,3673,80,181,261,2.34,5.18,7.65,Alameda County
1400000US06001405500,"Census Tract 4055, Alameda County, California",3674,3644,3537,-30,-107,-137,-0.82,-2.94,-3.73,Alameda County
1400000US06001405600,"Census Tract 4056, Alameda County, California",3171,3184,3044,13,-140,-127,0.41,-4.4,-4.01,Alameda County
1400000US06001405700,"Census Tract 4057, Alameda County, California",3308,3722,3522,414,-200,214,12.52,-5.37,6.47,Alameda County
1400000US06001405800,"Census Tract 4058, Alameda County, California",3931,4157,4182,226,25,251,5.75,0.6,6.39,Alameda County
1400000US06001405901,"Census Tract 4059.01, Alameda County, California",4230,4175,3757,-55,-418,-473,-1.3,-10.01,-11.18,Alameda County
1400000US06001405902,"Census Tract 4059.02, Alameda County, California",3129,3063,3138,-66,75,9,-2.11,2.45,0.29,Alameda County
1400000US06001406000,"Census Tract 4060, Alameda County, California",3890,4288,4735,398,447,845,10.23,10.42,21.72,Alameda County
1400000US06001406100,"Census Tract 4061, Alameda County, California",4721,5072,4939,351,-133,218,7.43,-2.62,4.62,Alameda County
1400000US06001406201,"Census Tract 4062.01, Alameda County, California",4954,5134,5072,180,-62,118,3.63,-1.21,2.38,Alameda County
1400000US06001406202,"Census Tract 4062.02, Alameda County, California",4712,4947,4733,235,-214,21,4.99,-4.33,0.45,Alameda County
1400000US06001406300,"Census Tract 4063, Alameda County, California",4403,4557,4556,154,-1,153,3.5,-0.02,3.47,Alameda County
1400000US06001406400,"Census Tract 4064, Alameda County, California",2548,2559,2598,11,39,50,0.43,1.52,1.96,Alameda County
1400000US06001406500,"Census Tract 4065, Alameda County, California",6400,6342,6494,-58,152,94,-0.91,2.4,1.47,Alameda County
1400000US06001406601,"Census Tract 4066.01, Alameda County, California",4726,4740,4531,14,-209,-195,0.3,-4.41,-4.13,Alameda County
1400000US06001406602,"Census Tract 4066.02, Alameda County, California",2417,2800,2540,383,-260,123,15.85,-9.29,5.09,Alameda County
1400000US06001406700,"Census Tract 4067, Alameda County, California",5019,5571,5380,552,-191,361,11,-3.43,7.19,Alameda County
1400000US06001406800,"Census Tract 4068, Alameda County, California",3668,3925,3971,257,46,303,7.01,1.17,8.26,Alameda County
1400000US06001406900,"Census Tract 4069, Alameda County, California",3895,3963,3865,68,-98,-30,1.75,-2.47,-0.77,Alameda County
1400000US06001407000,"Census Tract 4070, Alameda County, California",5780,5986,6202,206,216,422,3.56,3.61,7.3,Alameda County
1400000US06001407101,"Census Tract 4071.01, Alameda County, California",3869,3813,4053,-56,240,184,-1.45,6.29,4.76,Alameda County
1400000US06001407102,"Census Tract 4071.02, Alameda County, California",4603,4337,4268,-266,-69,-335,-5.78,-1.59,-7.28,Alameda County
1400000US06001407200,"Census Tract 4072, Alameda County, California",6901,6820,6544,-81,-276,-357,-1.17,-4.05,-5.17,Alameda County
